program_name,program_level,domain,eligibility,description,mode,duration,skills_learned,career_outcomes,min_degree_level,min_marks_general,min_marks_reserved,required_subjects
M.Sc. (GENETICS),PG,Science,Requires a Bachelor's degree in relevant subjects or specific B.Sc./B.E./B.Tech. qualifications with minimum aggregate marks.,"This program focuses on the study of genetics, exploring the principles of heredity, variation, and evolution. It involves in-depth study of molecular mechanisms and biological systems related to genetic processes.",Regular,2 year,"['Genetic analysis', 'Molecular biology', 'Biological systems', 'Data interpretation']","['Research scientist', 'Biotechnology specialist', 'Genetic counselor', 'Microbiology analyst']",UG,,,"['GENETICS', 'B.Sc.', 'B.E.', 'B.Tech.', 'Science']"
M.Sc. (BIOINFORMATICS),PG,Science,Bachelor's degree in Biological Sciences or related fields is required.,"This program focuses on the intersection of biology and information technology. It involves studying computational methods and data analysis applied to biological systems. The curriculum covers bioinformatics principles, algorithms, and data interpretation in life sciences.",Regular,2 year,"['Data analysis', 'Bioinformatics tools', 'Computational modeling', 'Biological data interpretation']","['Bioinformatics analyst', 'Computational biologist', 'Biomedical informatics specialist', 'Data scientist in life sciences']",UG,,,"['Biological Sciences', 'BIOINFORMATICS', 'Science']"
M.Sc. (BIO-TECHNOLOGY),PG,Science,Bachelor's degree in Biological Sciences or related fields is required with minimum marks specified for reserved categories.,"This program focuses on the study of biological systems and their applications in various technological fields. It involves in-depth exploration of molecular and cellular processes relevant to biotechnology. The curriculum covers principles of biology, biochemistry, and applied biotechnological techniques.",Regular,2 year,"['Biological systems', 'Molecular techniques', 'Bioprocess analysis', 'Data interpretation']","['Biotechnology research', 'Bioprocess development', 'Quality control analysis', 'R&D specialist']",UG,,,"['Biotechnology', 'Biological Sciences', 'Science']"
M.SC (MEDICAL BIOTECHNOLOGY),PG,Science,Requires a Bachelor's degree in Biological Sciences or related fields with at least 50% marks.,"This program focuses on the intersection of medical and biological sciences. It involves in-depth study of molecular mechanisms, biological systems, and biotechnological applications in the medical field. The curriculum covers advanced concepts in molecular biology, genetics, and biomedical processes.",Regular,2 year,"['Molecular biology', 'Biotechnology applications', 'Biological systems', 'Biomedical processes']","['Biotechnology research', 'Medical diagnostics', 'Pharmaceutical development', 'Biomedical analysis']",UG,50.0,,"['Biological Sciences', 'Biotechnology', 'Medical']"
M.Sc. (MICROBIOLOGY),PG,Science,"Requires a Bachelor's degree in relevant subjects like Biochemistry, Biotechnology, Botany, Genetics, or Microbiology.","This program focuses on the study of microorganisms, their biological processes, and their applications. It involves in-depth study of microbial physiology, genetics, and various microbiological techniques.",Regular,2 year,"['Microbial analysis', 'Biological processes', 'Laboratory techniques', 'Microbiology principles']","['Microbiologist', 'Research assistant', 'Quality control analyst', 'Biotechnology specialist']",UG,,,"['Biochemistry', 'Biotechnology', 'Botany', 'Genetics', 'Microbiology', 'Microbiology']"
M.Sc. (MICROBIAL BIO-TECHNOLOGY),PG,Science,"Requires a Bachelor's degree in relevant subjects like Biochemistry, Biotechnology, or Microbiology.","This program focuses on the principles and applications of microbial biotechnology. It involves studying the biological processes and technological applications of microorganisms in various fields. The curriculum covers molecular biology, fermentation technology, and industrial applications of microorganisms.",Regular,2 year,"['Microbial techniques', 'Bioprocess analysis', 'Molecular biology', 'Fermentation technology']","['Biotechnology research', 'Microbial process development', 'Industrial microbiology', 'Quality control specialist']",UG,,,"['Biochemistry', 'Biotechnology', 'Microbiology', 'Microbiology']"
M.Sc. (AGRI.BIO-TECHNOLOGY),PG,Science,Bachelor's degree in Biological Sciences or related fields is required with minimum marks specified for reserved categories.,This program focuses on the integration of agricultural and biotechnology principles. It involves studying the biological and technological aspects of agricultural systems and related life sciences. The curriculum covers advanced concepts in biological and biotechnological applications.,Regular,2 year,"['Biological analysis', 'Biotechnology application', 'Agricultural systems', 'Laboratory techniques']","['Agri-biotechnology research', 'Bioprocess development', 'Food science consulting', 'Agricultural extension officer']",UG,,,"['Biological Sciences', 'Biotechnology', 'AGRI.BIO-TECHNOLOGY']"
M.Sc. (BIOCHEMISTRY),PG,Science,"Requires a Bachelor's degree in Biochemistry/Biotechnology, Pharmacy, or a Bachelor's degree with specific science subjects and minimum aggregate marks.","This program focuses on the study of biochemical principles and their application across various biological systems. It involves in-depth exploration of molecular mechanisms, metabolic pathways, and the chemical basis of living organisms. The curriculum emphasizes theoretical knowledge and practical application in biochemistry.",Regular,2 year,"['Biochemical analysis', 'Molecular mechanisms', 'Metabolic pathways', 'Laboratory techniques']","['Research scientist', 'Bioprocess analyst', 'Pharmaceutical development', 'Biotechnology specialist']",UG,,,"['Biochemistry', 'Biotechnology', 'Pharmacy', 'Science']"
M.SC.(BOTANY),PG,Science,Requires a Bachelor's degree in Botany or equivalent with specified subject combinations and minimum marks.,"This program focuses on advanced study in the field of Botany, encompassing theoretical knowledge and practical applications in plant sciences. It involves in-depth exploration of plant biology, ecology, and related biological processes.",Regular,2 year,"['Biological analysis', 'Plant physiology', 'Ecology principles', 'Biological research']","['Botanical researcher', 'Horticultural specialist', 'Environmental consultant', 'Agricultural scientist']",UG,,,"['Botany', 'Science']"
M.Sc. (ENV. BIOTECHNOLOGY),PG,Science,Requires a Bachelor's degree in any discipline of Science or a B.Tech. in Biotechnology/Environment Engineering with 50% aggregate marks.,This program focuses on the intersection of environmental science and biotechnology. It involves studying the biological and chemical processes related to environmental systems and applying biotechnological principles to solve environmental challenges.,Regular,2 year,"['Environmental analysis', 'Biotechnology principles', 'Scientific research', 'Data interpretation']","['Environmental consultant', 'Bioprocess development', 'Research analyst', 'Environmental scientist']",UG,50.0,,"['Biotechnology', 'Environment Engineering', 'Science']"
