student_id,program_name,program_level,domain,eligibility,description,mode,duration,skills_learned,career_outcomes,min_degree_level,min_marks_general,min_marks_reserved,required_subjects,score,domain_match,subject_overlap,marks_margin,label
1,Master of Arts Political Science,PG,Humanities,"Requires a Bachelor's Degree in any discipline with at least 45% aggregate marks or equivalent examination recognized by M.D. University, Rohtak.","This program focuses on the theoretical and analytical study of political systems, governance, and public policy. It involves in-depth exploration of political theory, international relations, and comparative politics.",Open and Distance Learning Mode,2 year,"['Political analysis', 'Theoretical understanding', 'Research skills']","['Policy analyst', 'Political researcher', 'Public administration officer']",UG,45.0,,"['Political Science', 'any', 'course']",0.1750368865520181,1,0,15.700000000000005,
1,M.TECH (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),PG,Science,No specific eligibility requirements were provided.,"This program focuses on the theoretical foundations and practical applications of Artificial Intelligence and Data Science. It involves studying algorithms, statistical methods, and machine learning techniques to analyze complex data and develop intelligent systems.",Regular,2 year,"['Machine learning', 'Data analysis', 'Algorithm design', 'Statistical modeling']","['Data Scientist', 'AI Engineer', 'Machine Learning Specialist', 'Data Analyst']",UG,,,[],0.1280973274477971,0,0,0.0,
1,M.TECH. COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),PG,Engineering,No specific eligibility requirements were provided.,"This program focuses on the theoretical foundations and practical applications of Artificial Intelligence and Machine Learning within the field of Computer Science and Engineering. It covers advanced mathematical, computational, and algorithmic concepts necessary for developing intelligent systems. The curriculum emphasizes the design, implementation, and evaluation of complex ML models.",Regular,2 year,"['Machine learning', 'Algorithm design', 'Programming', 'Data analysis']","['AI Developer', 'Machine Learning Engineer', 'Data Scientist', 'Software Architect']",UG,,,[],0.1038495588252561,0,0,0.0,
1,PG Diploma in Data Analytics,PG,Science,Requires a Bachelor's Degree with at least 50% marks in aggregate or equivalent examination recognized by M.D. University Rohtak.,"This program focuses on the principles and techniques of data analysis. It covers methods for collecting, processing, and interpreting large datasets to derive meaningful insights. The curriculum emphasizes statistical foundations and analytical tools relevant to data-driven decision-making.",Regular,1 year,"['Data analysis', 'Statistical methods', 'Data interpretation']","['Data analyst', 'Business intelligence specialist', 'Data visualization expert']",UG,50.0,,"['Data Analytics', 'Mathematics']",0.0905871754120062,0,0,10.700000000000005,
1,Master of Arts Public Administration,PG,Management,Requires a Bachelor's Degree in any discipline with at least 45% aggregate marks or equivalent examination recognition.,"This program focuses on the administrative principles, policies, and practices related to public administration. It covers the theoretical foundations and practical applications of governance and public service management.",Open and Distance Learning Mode,2 year,"['Policy analysis', 'Administrative theory', 'Public governance', 'Research skills']","['Public administrator', 'Policy analyst', 'Administrative officer', 'Public sector manager']",UG,45.0,45.0,[],0.0766019848988368,0,0,15.700000000000005,
1,Certificate Course in Research Methods in Social Sciences,PG,Humanities,Requires a Bachelor's Degree in any discipline with at least 45% aggregate marks.,"This course focuses on the methodologies and techniques essential for conducting research within the social sciences. It provides students with the foundational knowledge necessary to design, execute, and analyze social science research projects effectively.",Regular,6 Months,"['Research methodology', 'Data collection', 'Statistical analysis', 'Research design']","['Social science researcher', 'Research assistant', 'Data analyst', 'Research practitioner']",UG,45.0,,[],0.0746109232467961,1,0,15.700000000000005,
1,PG Diploma in Computational Biology,PG,Science,"Requires a Bachelor's Degree in Biological Sciences, Computer Science, or allied biological sciences, or equivalent examination recognized by State Universities of Haryana.","This program focuses on the intersection of biology and computation. It involves studying the mathematical and computational methods applied to biological systems and data. The curriculum covers bioinformatics, computational modeling, and biological data analysis.",Regular,1 year,"['Data analysis', 'Computational modeling', 'Bioinformatics', 'Statistical methods']","['Bioinformatics analyst', 'Computational biologist', 'Biomedical data scientist', 'Research assistant']",UG,,,"['Biological Sciences', 'Computer Science', 'Biology', 'Science']",0.0711729639354745,0,0,0.0,
2,B.TECH (COMPUTER SCIENCE & INFORMATION TECHNOLOGY),UG,Engineering,No specific eligibility requirements were provided.,"This program focuses on the theoretical foundations and practical applications of computer science and information technology. It covers algorithms, data structures, programming, and the management of information systems.",Regular,4 year,"['Programming skills', 'Data structures', 'Algorithm design', 'Information systems']","['Software developer', 'Systems analyst', 'Data scientist', 'IT consultant']",PreUG,,,[],0.126479861264744,1,0,0.0,
2,B.TECH -ARTIFICIAL INTELLIGENCE & DATA SCIENCE,UG,Science,No specific eligibility requirements were provided.,"This program focuses on the theoretical foundations and practical applications of Artificial Intelligence and Data Science. It covers the mathematical, statistical, and computational methods required to analyze complex data and develop intelligent systems. The curriculum emphasizes machine learning, algorithms, and data-driven decision making.",Regular,4 year,"['Data analysis', 'Machine learning', 'Programming skills', 'Statistical modeling']","['Data Scientist', 'AI Engineer', 'Machine Learning Specialist', 'Data Analyst']",PreUG,,,[],0.1252219178856467,0,0,0.0,
2,B.TECH (CSE-ARTIFI. INTELLIGEN. & MACHINE LEARNING ENGINEERING),UG,Engineering,No specific eligibility requirements are stated.,"This program focuses on the principles of computer science, artificial intelligence, and machine learning. It involves studying algorithms, data structures, and the application of computational methods to solve complex problems. The curriculum emphasizes theoretical foundations and practical implementation in these advanced fields.",Regular,4 year,"['Programming skills', 'Algorithm design', 'Machine learning', 'Data analysis', 'Software development']","['Machine learning engineer', 'AI developer', 'Software architect', 'Data scientist', 'Algorithm designer']",PreUG,,,[],0.1168548579549685,1,0,0.0,
2,B.Tech (CSE- Data Science),UG,Science,No specific eligibility requirements were provided.,"This program focuses on the intersection of Computer Science and Data Science principles. It involves training in computational methods, statistical analysis, and the application of algorithms to large datasets. The curriculum covers theoretical foundations and practical applications in data-driven problem-solving.",Regular,4 year,"['Programming skills', 'Statistical analysis', 'Algorithm design', 'Data manipulation']","['Data Scientist', 'Machine Learning Engineer', 'Software Developer', 'Data Analyst']",PreUG,,,[],0.1128467107346396,0,0,0.0,
2,B.TECH (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),UG,Engineering,No specific eligibility requirements are stated.,"This program focuses on the theoretical foundations and practical applications of Artificial Intelligence and Machine Learning. It covers algorithms, data structures, and computational methods essential for developing intelligent systems. The curriculum emphasizes problem-solving and model development in the field of computer science.",Regular,4 year,"['Algorithm design', 'Data analysis', 'Programming proficiency', 'Model development']","['Machine Learning Engineer', 'AI Developer', 'Data Scientist', 'Software Developer']",PreUG,,,[],0.1036602864426336,1,0,0.0,
2,B.TECH (INFORMATION TECHNOLOGY),UG,Engineering,No specific eligibility requirements are stated.,"This program focuses on the principles and practices of information technology. It covers the theoretical foundations and practical applications of computing systems, software development, and data management. The curriculum aims to develop students with strong analytical and problem-solving skills in the IT domain.",Regular,4 year,"['Programming skills', 'System design', 'Software development', 'Data management']","['Software Developer', 'Systems Analyst', 'IT Consultant', 'Data Scientist']",PreUG,,,[],0.10128272229464,1,0,0.0,
