,Unnamed: 0,program_name,program_level,domain,eligibility,description,skills_learned,career_outcomes,eligibility_struct
0,0,M.SC. (GENETICS),PG,Life Sciences,"B.Sc. (Hons.) in Biochemistry, Botany, Environmental Sciences, Genetics, Microbiology or Zoology; B.Sc. (Pass) with three subjects from Anthropology, Biomedical Engineering, Biotechnology, Botany, Chemistry Fisheries, Genetics, Haematology, Immunology, Industrial Microbiology, Medical Biochemistry, and Zoology; Bachelor Degree in Pharmacy, Home Science, Agriculture Science, Veterinary Science, B.E., or B.Tech. (Biotechnology/Bioinformatics) with at least 50% marks (47.5% for SC/ST/Blind/Visually and Differently Abled candidates of Haryana only)","This program delves into advanced genetic principles, molecular biology, and genomics, providing a comprehensive understanding of genetic processes and their applications in various fields.","['Genetic analysis', 'Molecular biology techniques', 'Bioinformatics tools']","['Research scientist', 'Biotechnology specialist', 'Genetic counselor']",min_degree_level='UG' min_marks_general=50.0 min_marks_reserved=47.5
1,1,M.SC. (BIOINFORMATICS),PG,Science,"Bachelor's degree in Biological Sciences with Chemistry or related fields, with at least 50% marks (47.5% for reserved categories) of Haryana candidates.","This program focuses on the application of informatics tools and techniques to biological data, covering areas such as genomics, proteomics, and bioinformatics software development.","['Data analysis', 'Programming', 'Bioinformatics tools']","['Biostatistician', 'Genomic researcher', 'Bioinformatics analyst']",min_degree_level='UG' min_marks_general=50.0 min_marks_reserved=47.5
2,2,M.SC. (BIO-TECHNOLOGY),PG,Life Sciences,"Bachelor's degree in Biological Sciences with Chemistry or related fields, with at least 50% marks (47.5% for reserved categories) of Haryana candidates.","This program delves into advanced biotechnology research and applications, covering genetic engineering, molecular biology, and bioinformatics. Students explore the integration of biological sciences with technology to develop innovative solutions in healthcare, agriculture, and environmental management.","['Genetic engineering', 'Molecular biology', 'Bioinformatics analysis', 'Bioprocess development']","['Biotechnology researcher', 'Pharmaceutical scientist', 'Agricultural biotechnologist', 'Environmental consultant']",min_degree_level='UG' min_marks_general=50.0 min_marks_reserved=47.5
3,3,M.SC (MEDICAL BIOTECHNOLOGY),PG,Life Sciences,"Bachelor's degree in Biological Sciences or related fields with at least 50% marks, 47.5% for SC/ST/Blind/Visually and Differently Abled candidates of Haryana only.","This program focuses on advanced biotechnology applications in medical research, including genetic engineering, molecular diagnostics, and therapeutic development.","['Biotechnological techniques', 'Genetic analysis', 'Molecular biology']","['Biotech researcher', 'Medical scientist', 'Pharmaceutical analyst']",min_degree_level='UG' min_marks_general=50.0 min_marks_reserved=47.5
4,4,M.SC. (MICROBIOLOGY),PG,Life Sciences,"Bachelor's Degree in specified subjects with at least 50% marks, 47.5% for reserved categories in Haryana.","This program delves into advanced studies of microorganisms and their interactions with the environment and host organisms. Students explore molecular biology, immunology, and pathogenesis to understand microbial diversity and disease mechanisms.","['Microbial genetics', 'Molecular diagnostics', 'Immunological techniques']","['Research scientist', 'Clinical microbiologist', 'Biotechnologist']",min_degree_level='UG' min_marks_general=50.0 min_marks_reserved=47.5
5,5,M.SC. (MICROBIAL BIO-TECHNOLOGY),PG,Life Sciences,"Bachelor's Degree in specified subjects with at least 50% marks, 47.5% for reserved categories in Haryana.","This program focuses on advanced studies in microbial biotechnology, covering areas such as genetic engineering and bioinformatics.","['Genetic engineering', 'Bioinformatics', 'Microbial identification']","['Biotechnologist', 'Research Scientist', 'Microbiologist']",min_degree_level='UG' min_marks_general=50.0 min_marks_reserved=47.5
6,6,M.SC. (AGRI.BIO-TECHNOLOGY),PG,Life Sciences,Bachelor degree in Biological Sciences with Chemistry as a subsidiary subject/ Agriculture Science/Fisheries/ Horticulture/ B.Tech.(Food technology)/B.Tech. (Biotechnology)/ B.Sc. (Biotechnology)/ B.Sc. (Microbiology)/B.Sc. (Environmental Science)/ B.Sc. (Biochemistry)/ B.V. Sc./ B.E. (Technology)/ B.Pharm/ MBBS/ B.Sc. (Bioinformatics)/ B.Tech. or B.E. (Bioinformatics)/B.D.S. with at least 50% marks (47.5% for SC/ST/ Blind/ Visually and Differently Abled candidates of Haryana only),"This program focuses on advanced biotechnology applications in agriculture, including genetic engineering, bioinformatics, and sustainable farming practices.","['Biotechnological research', 'Genetic modification', 'Bioinformatics tools']","['Biotech researcher', 'Agricultural scientist', 'Bioprocess engineer']",min_degree_level='UG' min_marks_general=50.0 min_marks_reserved=47.5
7,7,M.SC. (BIOCHEMISTRY),PG,Life Sciences,"Bachelor's degree in Biochemistry, Biotechnology, Pharmacy, or related fields with at least 50% marks (47.5% for specific categories) from Haryana State Universities.","This program delves into advanced biochemical processes and molecular biology, providing a comprehensive understanding of cellular metabolism, genetic regulation, and protein structure. Students explore the application of biochemistry in medicine and biotechnology.","['Biochemical analysis', 'Molecular biology techniques', 'Genetic engineering']","['Biotechnologist', 'Research scientist', 'Pharmaceutical analyst']",min_degree_level='UG' min_marks_general=50.0 min_marks_reserved=47.5
8,8,M.SC.(BOTANY),PG,Science,"B.Sc. (Hons.) in Botany or B.Sc. (Pass) with Botany and any two of the subjects, viz., Anthropology, Biochemistry, Biotechnology, Chemistry, Environmental Science, Genetics, Microbiology, and Zoology with at least 50% marks (47.5% for SC/ST/Blind/Visually and Differently Abled candidates of Haryana only) in aggregate or equivalent examination.","This postgraduate program delves into advanced topics in botany, including plant physiology, genetics, ecology, and molecular biology, preparing students for research and academic careers.","['Plant taxonomy', 'Molecular biology', 'Ecological studies', 'Genetic analysis']","['Research scientist', 'Academic lecturer', 'Biotechnologist']",min_degree_level='UG' min_marks_general=50.0 min_marks_reserved=47.5
9,9,M.SC. (ENVIRONMENTAL BIOTECHNOLOGY),PG,Life Sciences,B.Sc. (Hons. or Pass) in any discipline of Sciences / B.Tech. (Biotechnology/Environment Engineering) with 50% marks (47.5% for SC/ST/Blind/Visually and Differently Abled candidates of Haryana only).,"This program focuses on the application of biotechnological principles to environmental challenges, covering areas such as waste management, pollution control, and sustainable technologies.","['Bioprocess engineering', 'Environmental monitoring', 'Genetic modification']","['Environmental consultant', 'Biotech researcher', 'Waste management specialist']",min_degree_level='UG' min_marks_general=50.0 min_marks_reserved=47.5
